<TICKER>,x,<CLOSE>,<OPENINT>,<COl12>,Date
????_??6,20120314,25481.5,25265.3,Overall Index,3/13/2012
????_??6,20120317,25607.2,25481.5,Overall Index,3/14/2012
????_??6,20120318,25905.6,25607.2,Overall Index,3/17/2012
????_??6,20120324,26280.5,25905.6,Overall Index,3/18/2012
????_??6,20120325,26502.3,26280.5,Overall Index,3/24/2012
????_??6,20120326,26408.7,26502.3,Overall Index,3/25/2012
????_??6,20120327,26533,26408.7,Overall Index,3/26/2012
????_??6,20120328,26576.2,26533,Overall Index,3/27/2012
????_??6,20120402,26484.8,26576.2,Overall Index,3/28/2012
????_??6,20120403,26327,26484.8,Overall Index,4/2/2012
????_??6,20120404,26300.3,26327,Overall Index,4/3/2012
????_??6,20120407,26383.4,26300.3,Overall Index,4/4/2012
????_??6,20120408,26491.8,26383.4,Overall Index,4/7/2012
????_??6,20120409,26482.6,26491.8,Overall Index,4/8/2012
????_??6,20120410,26664.1,26482.6,Overall Index,4/9/2012
????_??6,20120411,26757.8,26664.1,Overall Index,4/10/2012
????_??6,20120414,26896.8,26757.8,Overall Index,4/11/2012
????_??6,20120415,27281.2,26896.8,Overall Index,4/14/2012
????_??6,20120416,27245.6,27281.2,Overall Index,4/15/2012
????_??6,20120417,27185.6,27245.6,Overall Index,4/16/2012
????_??6,20120418,27259.9,27185.6,Overall Index,4/17/2012
????_??6,20120421,27211.7,27259.9,Overall Index,4/18/2012
????_??6,20120422,27169.3,27211.7,Overall Index,4/21/2012
????_??6,20120423,27085.3,27169.3,Overall Index,4/22/2012
????_??6,20120424,27129.9,27085.3,Overall Index,4/23/2012
????_??6,20120428,27010.1,27129.9,Overall Index,4/24/2012
????_??6,20120429,26953.8,27010.1,Overall Index,4/28/2012
????_??6,20120430,26960,26953.8,Overall Index,4/29/2012
????_??6,20120501,26969.8,26960,Overall Index,4/30/2012
????_??6,20120502,26964.8,26969.8,Overall Index,5/1/2012
????_??6,20120505,26935.7,26964.8,Overall Index,5/2/2012
????_??6,20120506,26932.2,26935.7,Overall Index,5/5/2012
????_??6,20120507,26886.3,26932.2,Overall Index,5/6/2012
????_??6,20120508,26870.5,26886.3,Overall Index,5/7/2012
????_??6,20120509,26871.9,26870.5,Overall Index,5/8/2012
????_??6,20120512,26743.8,26871.9,Overall Index,5/9/2012
????_??6,20120513,26658,26743.8,Overall Index,5/12/2012
????_??6,20120514,26715.2,26658,Overall Index,5/13/2012
????_??6,20120515,26677.3,26715.2,Overall Index,5/14/2012
????_??6,20120516,26652.6,26677.3,Overall Index,5/15/2012
????_??6,20120519,26652.1,26652.6,Overall Index,5/16/2012
????_??6,20120520,26667.7,26652.1,Overall Index,5/19/2012
????_??6,20120521,26845.8,26667.7,Overall Index,5/20/2012
????_??6,20120522,26912.7,26845.8,Overall Index,5/21/2012
????_??6,20120523,27091.2,26912.7,Overall Index,5/22/2012
????_??6,20120526,26909.5,27091.2,Overall Index,5/23/2012
????_??6,20120527,26905,26909.5,Overall Index,5/26/2012
????_??6,20120528,26848.7,26905,Overall Index,5/27/2012
????_??6,20120529,26803.6,26848.7,Overall Index,5/28/2012
????_??6,20120530,26755.9,26803.6,Overall Index,5/29/2012
????_??6,20120602,26735.4,26755.9,Overall Index,5/30/2012
????_??6,20120605,26693,26735.4,Overall Index,6/2/2012
????_??6,20120606,26635.6,26693,Overall Index,6/5/2012
????_??6,20120609,26365.2,26635.6,Overall Index,6/6/2012
????_??6,20120610,26264.8,26365.2,Overall Index,6/9/2012
????_??6,20120611,26411.8,26264.8,Overall Index,6/10/2012
????_??6,20120612,26440.5,26411.8,Overall Index,6/11/2012
????_??6,20120613,26439.1,26440.5,Overall Index,6/12/2012
????_??6,20120616,26406.7,26439.1,Overall Index,6/13/2012
????_??6,20120617,26325.5,26406.7,Overall Index,6/16/2012
????_??6,20120619,26291.8,26325.5,Overall Index,6/17/2012
????_??6,20120620,26165.9,26291.8,Overall Index,6/19/2012
????_??6,20120623,25938.1,26165.9,Overall Index,6/20/2012
????_??6,20120624,25681.1,25938.1,Overall Index,6/23/2012
????_??6,20120625,25558.4,25681.1,Overall Index,6/24/2012
????_??6,20120626,25325,25558.4,Overall Index,6/25/2012
????_??6,20120627,25054.6,25325,Overall Index,6/26/2012
????_??6,20120630,25170.7,25054.6,Overall Index,6/27/2012
????_??6,20120701,25227.2,25170.7,Overall Index,6/30/2012
????_??6,20120702,25345.5,25227.2,Overall Index,7/1/2012
????_??6,20120703,25438,25345.5,Overall Index,7/2/2012
????_??6,20120704,25428.5,25438,Overall Index,7/3/2012
????_??6,20120707,25445.5,25428.5,Overall Index,7/4/2012
????_??6,20120708,25354.3,25445.5,Overall Index,7/7/2012
????_??6,20120709,25279.2,25354.3,Overall Index,7/8/2012
????_??6,20120710,25307.5,25279.2,Overall Index,7/9/2012
????_??6,20120711,25388.1,25307.5,Overall Index,7/10/2012
????_??6,20120714,25431.5,25388.1,Overall Index,7/11/2012
????_??6,20120715,25296.1,25431.5,Overall Index,7/14/2012
????_??6,20120716,25159.7,25296.1,Overall Index,7/15/2012
????_??6,20120717,25021.3,25159.7,Overall Index,7/16/2012
????_??6,20120718,25039.2,25021.3,Overall Index,7/17/2012
????_??6,20120721,25021.2,25039.2,Overall Index,7/18/2012
????_??6,20120722,24996,25021.2,Overall Index,7/21/2012
????_??6,20120723,25029.5,24996,Overall Index,7/22/2012
????_??6,20120724,25094.3,25029.5,Overall Index,7/23/2012
????_??6,20120725,25088.8,25094.3,Overall Index,7/24/2012
????_??6,20120728,25023.3,25088.8,Overall Index,7/25/2012
????_??6,20120729,24747.4,25023.3,Overall Index,7/28/2012
????_??6,20120730,24550.4,24747.4,Overall Index,7/29/2012
????_??6,20120731,24584,24550.4,Overall Index,7/30/2012
????_??6,20120801,24546.7,24584,Overall Index,7/31/2012
????_??6,20120804,24332.6,24546.7,Overall Index,8/1/2012
????_??6,20120805,24108.5,24332.6,Overall Index,8/4/2012
????_??6,20120806,24001,24108.5,Overall Index,8/5/2012
????_??6,20120807,23855.1,24001,Overall Index,8/6/2012
????_??6,20120808,23787.3,23855.1,Overall Index,8/7/2012
????_??6,20120811,23957.2,23787.3,Overall Index,8/8/2012
????_??6,20120812,24024.2,23957.2,Overall Index,8/11/2012
????_??6,20120813,24049.7,24024.2,Overall Index,8/12/2012
????_??6,20120814,24102.1,24049.7,Overall Index,8/13/2012
????_??6,20120815,24125.3,24102.1,Overall Index,8/14/2012
????_??6,20120818,24144.7,24125.3,Overall Index,8/15/2012
????_??6,20120821,24279.1,24144.7,Overall Index,8/18/2012
????_??6,20120822,24339.2,24279.1,Overall Index,8/21/2012
????_??6,20120825,24523.2,24339.2,Overall Index,8/22/2012
????_??6,20120826,24586.5,24523.2,Overall Index,8/25/2012
????_??6,20120827,24649,24586.5,Overall Index,8/26/2012
????_??6,20120902,24730.1,24649,Overall Index,8/27/2012
????_??6,20120903,25055,24730.1,Overall Index,9/2/2012
????_??6,20120904,25384,25055,Overall Index,9/3/2012
????_??6,20120905,25659.9,25384,Overall Index,9/4/2012
????_??6,20120908,25791.9,25659.9,Overall Index,9/5/2012
????_??6,20120909,25569.2,25791.9,Overall Index,9/8/2012
????_??6,20120910,25735.1,25569.2,Overall Index,9/9/2012
????_??6,20120911,25889.2,25735.1,Overall Index,9/10/2012
????_??6,20120915,26283.7,25889.2,Overall Index,9/11/2012
????_??6,20120916,26217.2,26283.7,Overall Index,9/15/2012
????_??6,20120917,26470.6,26217.2,Overall Index,9/16/2012
????_??6,20120918,26556.9,26470.6,Overall Index,9/17/2012
????_??6,20120919,26514.5,26556.9,Overall Index,9/18/2012
????_??6,20120922,26875.3,26514.5,Overall Index,9/19/2012
????_??6,20120923,27127.1,26875.3,Overall Index,9/22/2012
????_??6,20120924,27080.7,27127.1,Overall Index,9/23/2012
????_??6,20120925,27440.1,27080.7,Overall Index,9/24/2012
????_??6,20120926,28132.2,27440.1,Overall Index,9/25/2012
????_??6,20120929,28828.7,28132.2,Overall Index,9/26/2012
????_??6,20120930,29207.1,28828.7,Overall Index,9/29/2012
????_??6,20121001,28788.8,29207.1,Overall Index,9/30/2012
????_??6,20121002,28667.1,28788.8,Overall Index,10/1/2012
????_??6,20121003,29098.5,28667.1,Overall Index,10/2/2012
????_??6,20121006,28862.9,29098.5,Overall Index,10/3/2012
????_??6,20121007,28858.6,28862.9,Overall Index,10/6/2012
????_??6,20121008,29014.1,28858.6,Overall Index,10/7/2012
????_??6,20121009,29032.5,29014.1,Overall Index,10/8/2012
????_??6,20121010,28845.7,29032.5,Overall Index,10/9/2012
????_??6,20121013,28557.9,28845.7,Overall Index,10/10/2012
????_??6,20121014,28656.1,28557.9,Overall Index,10/13/2012
????_??6,20121015,28981.3,28656.1,Overall Index,10/14/2012
????_??6,20121016,29248.2,28981.3,Overall Index,10/15/2012
????_??6,20121017,29502,29248.2,Overall Index,10/16/2012
????_??6,20121020,29992.6,29502,Overall Index,10/17/2012
????_??6,20121021,30211.4,29992.6,Overall Index,10/20/2012
????_??6,20121022,30671.6,30211.4,Overall Index,10/21/2012
????_??6,20121023,30615.7,30671.6,Overall Index,10/22/2012
????_??6,20121024,30749.3,30615.7,Overall Index,10/23/2012
????_??6,20121027,31121.7,30749.3,Overall Index,10/24/2012
????_??6,20121028,31160.1,31121.7,Overall Index,10/27/2012
????_??6,20121029,31221.5,31160.1,Overall Index,10/28/2012
????_??6,20121030,31331.6,31221.5,Overall Index,10/29/2012
????_??6,20121031,31082.4,31331.6,Overall Index,10/30/2012
????_??6,20121104,31205.2,31082.4,Overall Index,10/31/2012
????_??6,20121105,30736.6,31205.2,Overall Index,11/4/2012
????_??6,20121106,30940.3,30736.6,Overall Index,11/5/2012
????_??6,20121107,31282.9,30940.3,Overall Index,11/6/2012
????_??6,20121110,31220.1,31282.9,Overall Index,11/7/2012
????_??6,20121111,31015.6,31220.1,Overall Index,11/10/2012
????_??6,20121112,30978.8,31015.6,Overall Index,11/11/2012
????_??6,20121113,31215,30978.8,Overall Index,11/12/2012
????_??6,20121114,31336.4,31215,Overall Index,11/13/2012
????_??6,20121117,31260.3,31336.4,Overall Index,11/14/2012
????_??6,20121118,31271.2,31260.3,Overall Index,11/17/2012
????_??6,20121119,31096.5,31271.2,Overall Index,11/18/2012
????_??6,20121120,31140.9,31096.5,Overall Index,11/19/2012
????_??6,20121121,31259.5,31140.9,Overall Index,11/20/2012
????_??6,20121126,31608.9,31259.5,Overall Index,11/21/2012
????_??6,20121127,32018.1,31608.9,Overall Index,11/26/2012
????_??6,20121128,32339.5,32018.1,Overall Index,11/27/2012
????_??6,20121201,32741.5,32339.5,Overall Index,11/28/2012
????_??6,20121202,33113.5,32741.5,Overall Index,12/1/2012
????_??6,20121203,33015.7,33113.5,Overall Index,12/2/2012
????_??6,20121204,33073.4,33015.7,Overall Index,12/3/2012
????_??6,20121205,33282,33073.4,Overall Index,12/4/2012
????_??6,20121208,33659.9,33282,Overall Index,12/5/2012
????_??6,20121209,33612.6,33659.9,Overall Index,12/8/2012
????_??6,20121210,33760.8,33612.6,Overall Index,12/9/2012
????_??6,20121211,33889.4,33760.8,Overall Index,12/10/2012
????_??6,20121212,33687,33889.4,Overall Index,12/11/2012
????_??6,20121215,33949.3,33687,Overall Index,12/12/2012
????_??6,20121216,34090.9,33949.3,Overall Index,12/15/2012
????_??6,20121217,34669.5,34090.9,Overall Index,12/16/2012
????_??6,20121218,35106.2,34669.5,Overall Index,12/17/2012
????_??6,20121219,35760.3,35106.2,Overall Index,12/18/2012
????_??6,20121222,36040.5,35760.3,Overall Index,12/19/2012
????_??6,20121223,36829.3,36040.5,Overall Index,12/22/2012
